city,district,base_month,base_price_yuan_m2,source_tier,confidence,resilience_score,methodology,source_url
北京,东城区,2026-05,89100,C_public_third_party,medium,1.00,reported_avg_listing_price_top10,https://www.creprice.cn/report/bj/2026-05.html
北京,西城区,2026-05,110000,C_public_third_party,medium,1.00,reported_avg_listing_price_top10,https://www.creprice.cn/report/bj/2026-05.html
北京,朝阳区,2026-05,61800,C_public_third_party,medium,0.95,reported_avg_listing_price_top10,https://www.creprice.cn/report/bj/2026-05.html
北京,丰台区,2026-05,47700,C_public_third_party,medium,0.70,reported_avg_listing_price_top10,https://www.creprice.cn/report/bj/2026-05.html
北京,石景山区,2026-05,43600,C_public_third_party,medium,0.65,reported_avg_listing_price_top10,https://www.creprice.cn/report/bj/2026-05.html
北京,海淀区,2026-05,81900,C_public_third_party,medium,1.00,reported_avg_listing_price_top10,https://www.creprice.cn/report/bj/2026-05.html
北京,门头沟区,2026-04,35600,C_public_third_party,low,0.35,reported_avg_listing_price_top10,https://www.creprice.cn/report/bj/2026-04.html
北京,房山区,2026-05,29000,C_proxy,low,0.20,administrative_tier_imputation,
北京,通州区,2026-05,33800,C_public_third_party,medium,0.55,reported_avg_listing_price_top10,https://www.creprice.cn/report/bj/2026-05.html
北京,顺义区,2026-05,34500,C_public_third_party,medium,0.45,reported_avg_listing_price_top10,https://www.creprice.cn/report/bj/2026-05.html
北京,昌平区,2026-05,35200,C_public_third_party,medium,0.45,reported_avg_listing_price_top10,https://www.creprice.cn/report/bj/2026-05.html
北京,大兴区,2026-05,37900,C_public_third_party,medium,0.55,reported_avg_listing_price_top10,https://www.creprice.cn/report/bj/2026-05.html
北京,怀柔区,2026-05,25000,C_proxy,low,0.15,administrative_tier_imputation,
北京,平谷区,2026-05,23000,C_proxy,low,0.10,administrative_tier_imputation,
北京,密云区,2026-05,24000,C_proxy,low,0.15,administrative_tier_imputation,
北京,延庆区,2026-05,19000,C_proxy,low,0.10,administrative_tier_imputation,
北京,北京经济技术开发区,2026-05,50000,C_proxy,low,0.80,industrial_tier_imputation,
重庆,渝中区,2025-05,16300,C_public_third_party,low,1.00,reported_avg_listing_price_top10,https://www.creprice.cn/report/cq/2025-05.html
重庆,大渡口区,2025-05,8680,C_public_third_party,low,0.45,reported_avg_listing_price_top10,https://www.creprice.cn/report/cq/2025-05.html
重庆,江北区,2025-05,15100,C_public_third_party,low,0.95,reported_avg_listing_price_top10,https://www.creprice.cn/report/cq/2025-05.html
重庆,沙坪坝区,2025-05,11000,C_public_third_party,low,0.75,reported_avg_listing_price_top10,https://www.creprice.cn/report/cq/2025-05.html
重庆,九龙坡区,2025-05,10400,C_public_third_party,low,0.65,reported_avg_listing_price_top10,https://www.creprice.cn/report/cq/2025-05.html
重庆,南岸区,2025-05,11700,C_public_third_party,low,0.75,reported_avg_listing_price_top10,https://www.creprice.cn/report/cq/2025-05.html
重庆,北碚区,2025-05,9581,C_public_third_party,low,0.55,reported_avg_listing_price_top10,https://www.creprice.cn/report/cq/2025-05.html
重庆,渝北区,2025-05,13800,C_public_third_party,low,0.90,reported_avg_listing_price_top10,https://www.creprice.cn/report/cq/2025-05.html
重庆,巴南区,2025-05,8546,C_public_third_party,low,0.40,reported_avg_listing_price_top10,https://www.creprice.cn/report/cq/2025-05.html
重庆,涪陵区,2025-05,8500,C_proxy,low,0.40,administrative_tier_imputation,
重庆,长寿区,2025-05,7800,C_proxy,low,0.30,administrative_tier_imputation,
重庆,江津区,2025-05,8000,C_proxy,low,0.40,administrative_tier_imputation,
重庆,合川区,2025-05,7600,C_proxy,low,0.30,administrative_tier_imputation,
重庆,永川区,2025-05,8200,C_proxy,low,0.40,administrative_tier_imputation,
重庆,南川区,2025-05,7500,C_proxy,low,0.25,administrative_tier_imputation,
重庆,綦江区,2025-05,7000,C_proxy,low,0.20,administrative_tier_imputation,
重庆,大足区,2025-05,7200,C_proxy,low,0.25,administrative_tier_imputation,
重庆,璧山区,2025-05,8800,C_proxy,low,0.55,administrative_tier_imputation,
重庆,铜梁区,2025-05,7200,C_proxy,low,0.25,administrative_tier_imputation,
重庆,潼南区,2025-05,6800,C_proxy,low,0.20,administrative_tier_imputation,
重庆,荣昌区,2025-05,7200,C_proxy,low,0.25,administrative_tier_imputation,
重庆,开州区,2025-05,8709,C_public_third_party,low,0.25,reported_avg_listing_price_top10,https://www.creprice.cn/report/cq/2025-05.html
重庆,梁平区,2025-05,6800,C_proxy,low,0.20,administrative_tier_imputation,
重庆,武隆区,2025-05,6500,C_proxy,low,0.15,administrative_tier_imputation,
重庆,黔江区,2025-05,7000,C_proxy,low,0.20,administrative_tier_imputation,
重庆,万盛经开区,2025-05,6500,C_proxy,low,0.15,administrative_tier_imputation,
