city,district,year,base_month,base_price_yuan_m2,source_tier,resilience_score,confidence,price_low_yuan_m2,price_base_yuan_m2,price_high_yuan_m2
北京,东城区,2026,2026-06,89189.0,C_public_third_party,1.0,medium,86275,87321,88378
北京,东城区,2027,2026-06,89189.0,C_public_third_party,1.0,medium,82507,85541,88681
北京,东城区,2028,2026-06,89189.0,C_public_third_party,1.0,medium,79940,84896,90149
北京,东城区,2029,2026-06,89189.0,C_public_third_party,1.0,medium,77825,84660,92081
北京,东城区,2030,2026-06,89189.0,C_public_third_party,1.0,medium,75900,84574,94219
北京,丰台区,2026,2026-06,47748.0,C_public_third_party,0.7,medium,46104,46748,47229
北京,丰台区,2027,2026-06,47748.0,C_public_third_party,0.7,medium,43932,45795,47220
北京,丰台区,2028,2026-06,47748.0,C_public_third_party,0.7,medium,42411,45450,47830
北京,丰台区,2029,2026-06,47748.0,C_public_third_party,0.7,medium,41141,45324,48679
北京,丰台区,2030,2026-06,47748.0,C_public_third_party,0.7,medium,39978,45277,49631
北京,北京经济技术开发区,2026,2026-06,50050.0,C_proxy,0.8,low,48356,49002,49535
北京,北京经济技术开发区,2027,2026-06,50050.0,C_proxy,0.8,low,46133,48003,49586
北京,北京经济技术开发区,2028,2026-06,50050.0,C_proxy,0.8,low,44590,47641,50286
北京,北京经济技术开发区,2029,2026-06,50050.0,C_proxy,0.8,low,43306,47509,51241
北京,北京经济技术开发区,2030,2026-06,50050.0,C_proxy,0.8,low,42133,47460,52305
北京,大兴区,2026,2026-06,37938.0,C_public_third_party,0.55,medium,36599,37144,37492
北京,大兴区,2027,2026-06,37938.0,C_public_third_party,0.55,medium,34811,36386,37417
北京,大兴区,2028,2026-06,37938.0,C_public_third_party,0.55,medium,33546,36112,37832
北京,大兴区,2029,2026-06,37938.0,C_public_third_party,0.55,medium,32482,36012,38435
北京,大兴区,2030,2026-06,37938.0,C_public_third_party,0.55,medium,31508,35975,39116
北京,密云区,2026,2026-06,24024.0,C_proxy,0.15,low,23120,23521,23684
北京,密云区,2027,2026-06,24024.0,C_proxy,0.15,low,21885,23041,23524
北京,密云区,2028,2026-06,24024.0,C_proxy,0.15,low,20988,22868,23671
北京,密云区,2029,2026-06,24024.0,C_proxy,0.15,low,20225,22804,23933
北京,密云区,2030,2026-06,24024.0,C_proxy,0.15,low,19524,22781,24241
北京,平谷区,2026,2026-06,23023.0,C_proxy,0.1,low,22150,22541,22691
北京,平谷区,2027,2026-06,23023.0,C_proxy,0.1,low,20954,22081,22524
北京,平谷区,2028,2026-06,23023.0,C_proxy,0.1,low,20083,21915,22651
北京,平谷区,2029,2026-06,23023.0,C_proxy,0.1,low,19342,21854,22888
北京,平谷区,2030,2026-06,23023.0,C_proxy,0.1,low,18660,21832,23168
北京,延庆区,2026,2026-06,19019.0,C_proxy,0.1,low,18298,18621,18744
